audio,score,midi,match,estimated_bpm
asap/audio/Bach_Fugue_bwv_858_VuV01M.mp3,asap/score/Bach_Fugue_bwv_858_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_858_VuV01M.mid,asap/match/Bach_Fugue_bwv_858_VuV01M.match,58
asap/audio/Bach_Fugue_bwv_858_Zhang01M.mp3,asap/score/Bach_Fugue_bwv_858_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_858_Zhang01M.mid,asap/match/Bach_Fugue_bwv_858_Zhang01M.match,65
asap/audio/Bach_Fugue_bwv_862_Song04M.mp3,asap/score/Bach_Fugue_bwv_862_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_862_Song04M.mid,asap/match/Bach_Fugue_bwv_862_Song04M.match,54
asap/audio/Bach_Fugue_bwv_863_LeeN01M.mp3,asap/score/Bach_Fugue_bwv_863_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_863_LeeN01M.mid,asap/match/Bach_Fugue_bwv_863_LeeN01M.match,58
asap/audio/Bach_Fugue_bwv_863_Shychko01M.mp3,asap/score/Bach_Fugue_bwv_863_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_863_Shychko01M.mid,asap/match/Bach_Fugue_bwv_863_Shychko01M.match,51
asap/audio/Bach_Fugue_bwv_863_TongB01M.mp3,asap/score/Bach_Fugue_bwv_863_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_863_TongB01M.mid,asap/match/Bach_Fugue_bwv_863_TongB01M.match,57
asap/audio/Bach_Fugue_bwv_873_Lisiecki13M.mp3,asap/score/Bach_Fugue_bwv_873_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_873_Lisiecki13M.mid,asap/match/Bach_Fugue_bwv_873_Lisiecki13M.match,418
asap/audio/Bach_Fugue_bwv_891_Duepree06M.mp3,asap/score/Bach_Fugue_bwv_891_xml_score.musicxml,asap/midi/Bach_Fugue_bwv_891_Duepree06M.mid,asap/match/Bach_Fugue_bwv_891_Duepree06M.match,84
asap/audio/Bach_Prelude_bwv_858_VuV01M.mp3,asap/score/Bach_Prelude_bwv_858_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_858_VuV01M.mid,asap/match/Bach_Prelude_bwv_858_VuV01M.match,267
asap/audio/Bach_Prelude_bwv_858_Zhang01M.mp3,asap/score/Bach_Prelude_bwv_858_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_858_Zhang01M.mid,asap/match/Bach_Prelude_bwv_858_Zhang01M.match,248
asap/audio/Bach_Prelude_bwv_862_Song04M.mp3,asap/score/Bach_Prelude_bwv_862_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_862_Song04M.mid,asap/match/Bach_Prelude_bwv_862_Song04M.match,104
asap/audio/Bach_Prelude_bwv_863_LeeN01M.mp3,asap/score/Bach_Prelude_bwv_863_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_863_LeeN01M.mid,asap/match/Bach_Prelude_bwv_863_LeeN01M.match,101
asap/audio/Bach_Prelude_bwv_863_Shychko01M.mp3,asap/score/Bach_Prelude_bwv_863_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_863_Shychko01M.mid,asap/match/Bach_Prelude_bwv_863_Shychko01M.match,102
asap/audio/Bach_Prelude_bwv_863_TongB01M.mp3,asap/score/Bach_Prelude_bwv_863_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_863_TongB01M.mid,asap/match/Bach_Prelude_bwv_863_TongB01M.match,109
asap/audio/Bach_Prelude_bwv_873_Lisiecki13M.mp3,asap/score/Bach_Prelude_bwv_873_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_873_Lisiecki13M.mid,asap/match/Bach_Prelude_bwv_873_Lisiecki13M.match,129
asap/audio/Bach_Prelude_bwv_891_BLINOV04M.mp3,asap/score/Bach_Prelude_bwv_891_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_891_BLINOV04M.mid,asap/match/Bach_Prelude_bwv_891_BLINOV04M.match,64
asap/audio/Bach_Prelude_bwv_891_Duepree06M.mp3,asap/score/Bach_Prelude_bwv_891_xml_score.musicxml,asap/midi/Bach_Prelude_bwv_891_Duepree06M.mid,asap/match/Bach_Prelude_bwv_891_Duepree06M.match,70
asap/audio/Beethoven_Piano_Sonatas_10-1_Hou02M.mp3,asap/score/Beethoven_Piano_Sonatas_10-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_10-1_Hou02M.mid,asap/match/Beethoven_Piano_Sonatas_10-1_Hou02M.match,86
asap/audio/Beethoven_Piano_Sonatas_12-1_Kleisen05M.mp3,asap/score/Beethoven_Piano_Sonatas_12-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_12-1_Kleisen05M.mid,asap/match/Beethoven_Piano_Sonatas_12-1_Kleisen05M.match,97
asap/audio/Beethoven_Piano_Sonatas_16-1_BuiJL02M.mp3,asap/score/Beethoven_Piano_Sonatas_16-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_16-1_BuiJL02M.mid,asap/match/Beethoven_Piano_Sonatas_16-1_BuiJL02M.match,138
asap/audio/Beethoven_Piano_Sonatas_16-1_Khmara05M.mp3,asap/score/Beethoven_Piano_Sonatas_16-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_16-1_Khmara05M.mid,asap/match/Beethoven_Piano_Sonatas_16-1_Khmara05M.match,137
asap/audio/Beethoven_Piano_Sonatas_16-1_LeeSH02M.mp3,asap/score/Beethoven_Piano_Sonatas_16-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_16-1_LeeSH02M.mid,asap/match/Beethoven_Piano_Sonatas_16-1_LeeSH02M.match,127
asap/audio/Beethoven_Piano_Sonatas_16-1_Woo05M.mp3,asap/score/Beethoven_Piano_Sonatas_16-1_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_16-1_Woo05M.mid,asap/match/Beethoven_Piano_Sonatas_16-1_Woo05M.match,140
asap/audio/Beethoven_Piano_Sonatas_18-4_ChenGuang06M.mp3,asap/score/Beethoven_Piano_Sonatas_18-4_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_18-4_ChenGuang06M.mid,asap/match/Beethoven_Piano_Sonatas_18-4_ChenGuang06M.match,430
asap/audio/Beethoven_Piano_Sonatas_18-4_KOLESO06M.mp3,asap/score/Beethoven_Piano_Sonatas_18-4_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_18-4_KOLESO06M.mid,asap/match/Beethoven_Piano_Sonatas_18-4_KOLESO06M.match,433
asap/audio/Beethoven_Piano_Sonatas_3-2_MiyashitaM04M.mp3,asap/score/Beethoven_Piano_Sonatas_3-2_xml_score.musicxml,asap/midi/Beethoven_Piano_Sonatas_3-2_MiyashitaM04M.mid,asap/match/Beethoven_Piano_Sonatas_3-2_MiyashitaM04M.match,23
