audio,score,midi,match,estimated_bpm
batik/audio/k279_2.mp3,batik/score/kv279_2.musicxml,batik/midi/kv279_2.mid,batik/match/kv279_2.match,33
batik/audio/k280_2.mp3,batik/score/kv280_2.musicxml,batik/midi/kv280_2.mid,batik/match/kv280_2.match,63
batik/audio/k280_3.mp3,batik/score/kv280_3.musicxml,batik/midi/kv280_3.mid,batik/match/kv280_3.match,128
batik/audio/k281_1.mp3,batik/score/kv281_1.musicxml,batik/midi/kv281_1.mid,batik/match/kv281_1.match,49
batik/audio/k281_2.mp3,batik/score/kv281_2.musicxml,batik/midi/kv281_2.mid,batik/match/kv281_2.match,56
batik/audio/k281_3.mp3,batik/score/kv281_3.musicxml,batik/midi/kv281_3.mid,batik/match/kv281_3.match,73
batik/audio/k282_1.mp3,batik/score/kv282_1.musicxml,batik/midi/kv282_1.mid,batik/match/kv282_1.match,19
batik/audio/k282_2.mp3,batik/score/kv282_2.musicxml,batik/midi/kv282_2.mid,batik/match/kv282_2.match,50
batik/audio/k283_2.mp3,batik/score/kv283_2.musicxml,batik/midi/kv283_2.mid,batik/match/kv283_2.match,20
batik/audio/k284_1.mp3,batik/score/kv284_1.musicxml,batik/midi/kv284_1.mid,batik/match/kv284_1.match,97
batik/audio/k284_2.mp3,batik/score/kv284_2.musicxml,batik/midi/kv284_2.mid,batik/match/kv284_2.match,56
batik/audio/k284_3.mp3,batik/score/kv284_3.musicxml,batik/midi/kv284_3.mid,batik/match/kv284_3.match,35
batik/audio/k330_1.mp3,batik/score/kv330_1.musicxml,batik/midi/kv330_1.mid,batik/match/kv330_1.match,48
batik/audio/k330_2.mp3,batik/score/kv330_2.musicxml,batik/midi/kv330_2.mid,batik/match/kv330_2.match,29
batik/audio/k330_3.mp3,batik/score/kv330_3.musicxml,batik/midi/kv330_3.mid,batik/match/kv330_3.match,60
batik/audio/k331_1.mp3,batik/score/kv331_1.musicxml,batik/midi/kv331_1.mid,batik/match/kv331_1.match,57
batik/audio/k331_2.mp3,batik/score/kv331_2.musicxml,batik/midi/kv331_2.mid,batik/match/kv331_2.match,52
batik/audio/k331_3.mp3,batik/score/kv331_3.musicxml,batik/midi/kv331_3.mid,batik/match/kv331_3.match,75
batik/audio/k332_1.mp3,batik/score/kv332_1.musicxml,batik/midi/kv332_1.mid,batik/match/kv332_1.match,115
batik/audio/k332_2.mp3,batik/score/kv332_2.musicxml,batik/midi/kv332_2.mid,batik/match/kv332_2.match,32
batik/audio/k332_3.mp3,batik/score/kv332_3.musicxml,batik/midi/kv332_3.mid,batik/match/kv332_3.match,212
batik/audio/k333_1.mp3,batik/score/kv333_1.musicxml,batik/midi/kv333_1.mid,batik/match/kv333_1.match,99
batik/audio/k333_2.mp3,batik/score/kv333_2.musicxml,batik/midi/kv333_2.mid,batik/match/kv333_2.match,33
batik/audio/k333_3.mp3,batik/score/kv333_3.musicxml,batik/midi/kv333_3.mid,batik/match/kv333_3.match,71
batik/audio/k457_1.mp3,batik/score/kv457_1.musicxml,batik/midi/kv457_1.mid,batik/match/kv457_1.match,118
batik/audio/k457_2.mp3,batik/score/kv457_2.musicxml,batik/midi/kv457_2.mid,batik/match/kv457_2.match,30
batik/audio/k457_3.mp3,batik/score/kv457_3.musicxml,batik/midi/kv457_3.mid,batik/match/kv457_3.match,209
batik/audio/k533_1.mp3,batik/score/kv533_1.musicxml,batik/midi/kv533_1.mid,batik/match/kv533_1.match,57
batik/audio/k533_2.mp3,batik/score/kv533_2.musicxml,batik/midi/kv533_2.mid,batik/match/kv533_2.match,53
batik/audio/k533_3.mp3,batik/score/kv533_3.musicxml,batik/midi/kv533_3.mid,batik/match/kv533_3.match,55
