perf_sec	score_beat
0.232200	0.000000
0.644354	1.000000
1.091338	2.000000
1.573152	3.000000
2.455510	5.000000
2.954739	6.000000
3.395918	7.000000
3.639728	7.500000
3.900952	8.000000
4.458231	9.000000
6.861497	11.000000
7.360726	12.000000
8.243084	14.000000
8.730703	15.000000
9.525986	17.000000
10.048435	18.000000
12.927710	21.000000
13.409524	22.000000
13.873923	23.000000
14.326712	24.000000
15.214875	26.000000
15.754739	27.000000
16.248163	28.000000
16.439728	28.500000
16.677732	29.000000
17.246621	30.000000
19.673107	32.000000
20.183946	33.000000
21.037279	35.000000
21.553923	36.000000
22.389841	38.000000
22.923900	39.000000
25.600000	42.000000
26.035374	43.000000
26.493968	44.000000
26.987392	45.000000
27.875556	47.000000
28.357370	48.000000
30.894150	51.000000
31.358549	52.000000
31.776508	53.000000
32.258322	54.000000
33.152290	56.000000
33.651519	57.000000
36.136054	59.000000
36.658503	60.000000
37.529252	62.000000
38.051701	63.000000
38.887619	65.000000
39.357823	66.000000
41.697234	68.000000
42.167438	69.000000
43.073016	71.000000
43.566440	72.000000
44.472018	74.000000
45.040907	75.000000
