audio,score,annotations,estimated_bpm
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_as.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/1.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_bar.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/2.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_cl.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/3.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_fh.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/4.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_ob.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/5.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_01_tp.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-01.musicxml,chorale/annotations/6.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_02_as.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-02.musicxml,chorale/annotations/7.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_02_cl.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-02.musicxml,chorale/annotations/8.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_02_eh.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-02.musicxml,chorale/annotations/9.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_02_fh.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-02.musicxml,chorale/annotations/10.tsv,100
chorale/audio/Anonymous_AusMeinesHerzensGrunde_02_tp.mp3,chorale/score/Anonymous_AusMeinesHerzensGrunde-02.musicxml,chorale/annotations/11.tsv,100
