perf_sec	score_beat
0.135417	0.000000
0.633333	0.166700
0.833333	0.333300
1.012500	0.500000
1.180208	0.666700
1.308333	0.833300
1.500000	1.000000
1.785417	1.166700
1.954167	1.333300
2.101042	1.500000
2.271875	1.666700
2.400000	1.833300
2.624000	2.000000
3.110417	2.166700
3.254167	2.333300
3.391667	2.500000
3.558333	2.666700
3.704167	2.833300
3.914583	3.000000
4.197917	3.166700
4.224000	3.250000
4.356250	3.333300
4.543800	3.500000
4.766667	3.666700
4.927100	3.750000
4.966667	3.833300
5.277083	4.000000
5.640625	4.166700
5.815625	4.333300
5.980208	4.500000
6.139583	4.666700
6.302083	4.833300
6.500000	5.000000
6.776042	5.166700
6.925000	5.333300
7.087500	5.500000
7.583300	6.000000
8.380208	6.666700
8.875000	7.000000
9.119800	7.250000
9.504167	7.333300
9.407300	7.500000
9.824000	7.750000
10.191667	8.000000
10.562500	8.166700
10.746875	8.333300
10.912500	8.500000
11.045833	8.666700
11.212500	8.833300
11.424000	9.000000
11.644792	9.166700
11.816667	9.333300
11.961458	9.500000
12.139583	9.666700
12.306250	9.833300
12.543750	10.000000
12.796875	10.166700
12.939583	10.333300
13.085417	10.500000
13.220833	10.666700
13.383333	10.833300
13.604167	11.000000
13.855208	11.166700
14.005208	11.333300
14.154167	11.500000
14.320833	11.666700
14.481250	11.833300
14.689583	12.000000
14.910417	12.166700
15.058333	12.333300
15.197917	12.500000
15.381250	12.666700
15.526042	12.833300
15.647900	13.000000
15.950000	13.166700
16.087500	13.333300
16.255200	13.500000
16.426042	13.666700
16.597917	13.833300
16.836500	14.000000
17.058333	14.166700
17.202083	14.333300
17.360417	14.500000
17.530208	14.666700
17.696875	14.833300
17.895833	15.000000
18.136458	15.166700
18.294792	15.333300
18.464583	15.500000
18.631250	15.666700
18.808333	15.833300
19.061458	16.000000
19.983333	16.500000
20.250000	16.666700
20.304167	16.833300
20.562500	17.000000
20.693750	17.166700
20.820833	17.333300
20.969792	17.500000
21.079167	17.666700
21.176042	17.833300
21.358333	18.000000
21.446875	18.166700
21.569792	18.333300
21.730208	18.500000
21.812500	18.666700
21.906250	18.833300
