audio,score,annotations,estimated_bpm
kraisler/audio/01_mix_dry.mp3,kraisler/score/01.musicxml,kraisler/annotations/01.tsv,101
kraisler/audio/01_mix_hall.mp3,kraisler/score/01.musicxml,kraisler/annotations/01.tsv,101
kraisler/audio/01_mix_studio.mp3,kraisler/score/01.musicxml,kraisler/annotations/01.tsv,101
kraisler/audio/02_mix_dry.mp3,kraisler/score/02.musicxml,kraisler/annotations/02.tsv,56
kraisler/audio/02_mix_hall.mp3,kraisler/score/02.musicxml,kraisler/annotations/02.tsv,56
kraisler/audio/02_mix_studio.mp3,kraisler/score/02.musicxml,kraisler/annotations/02.tsv,56
kraisler/audio/03_mix_dry.mp3,kraisler/score/03.musicxml,kraisler/annotations/03.tsv,191
kraisler/audio/03_mix_hall.mp3,kraisler/score/03.musicxml,kraisler/annotations/03.tsv,191
kraisler/audio/03_mix_studio.mp3,kraisler/score/03.musicxml,kraisler/annotations/03.tsv,191
kraisler/audio/04_mix_dry.mp3,kraisler/score/04.musicxml,kraisler/annotations/04.tsv,71
kraisler/audio/04_mix_hall.mp3,kraisler/score/04.musicxml,kraisler/annotations/04.tsv,71
kraisler/audio/04_mix_studio.mp3,kraisler/score/04.musicxml,kraisler/annotations/04.tsv,71
kraisler/audio/05_mix_dry.mp3,kraisler/score/05.musicxml,kraisler/annotations/05.tsv,66
kraisler/audio/05_mix_hall.mp3,kraisler/score/05.musicxml,kraisler/annotations/05.tsv,66
kraisler/audio/05_mix_studio.mp3,kraisler/score/05.musicxml,kraisler/annotations/05.tsv,66
kraisler/audio/06_mix_dry.mp3,kraisler/score/06.musicxml,kraisler/annotations/06.tsv,98
kraisler/audio/06_mix_hall.mp3,kraisler/score/06.musicxml,kraisler/annotations/06.tsv,98
kraisler/audio/06_mix_studio.mp3,kraisler/score/06.musicxml,kraisler/annotations/06.tsv,98
kraisler/audio/07_mix_dry.mp3,kraisler/score/07.musicxml,kraisler/annotations/07.tsv,83
kraisler/audio/07_mix_hall.mp3,kraisler/score/07.musicxml,kraisler/annotations/07.tsv,83
kraisler/audio/07_mix_studio.mp3,kraisler/score/07.musicxml,kraisler/annotations/07.tsv,83
kraisler/audio/08_mix_dry.mp3,kraisler/score/08.musicxml,kraisler/annotations/08.tsv,275
kraisler/audio/08_mix_hall.mp3,kraisler/score/08.musicxml,kraisler/annotations/08.tsv,275
kraisler/audio/08_mix_studio.mp3,kraisler/score/08.musicxml,kraisler/annotations/08.tsv,275
kraisler/audio/09_mix_dry.mp3,kraisler/score/09.musicxml,kraisler/annotations/09.tsv,64
kraisler/audio/09_mix_hall.mp3,kraisler/score/09.musicxml,kraisler/annotations/09.tsv,64
kraisler/audio/09_mix_studio.mp3,kraisler/score/09.musicxml,kraisler/annotations/09.tsv,64
kraisler/audio/10_mix_dry.mp3,kraisler/score/10.musicxml,kraisler/annotations/10.tsv,59
kraisler/audio/10_mix_hall.mp3,kraisler/score/10.musicxml,kraisler/annotations/10.tsv,59
kraisler/audio/10_mix_studio.mp3,kraisler/score/10.musicxml,kraisler/annotations/10.tsv,59
kraisler/audio/11_mix_dry.mp3,kraisler/score/11.musicxml,kraisler/annotations/11.tsv,37
kraisler/audio/11_mix_hall.mp3,kraisler/score/11.musicxml,kraisler/annotations/11.tsv,37
kraisler/audio/11_mix_studio.mp3,kraisler/score/11.musicxml,kraisler/annotations/11.tsv,37
kraisler/audio/12_mix_dry.mp3,kraisler/score/12.musicxml,kraisler/annotations/12.tsv,55
kraisler/audio/12_mix_hall.mp3,kraisler/score/12.musicxml,kraisler/annotations/12.tsv,55
kraisler/audio/12_mix_studio.mp3,kraisler/score/12.musicxml,kraisler/annotations/12.tsv,55
kraisler/audio/13_mix_dry.mp3,kraisler/score/13.musicxml,kraisler/annotations/13.tsv,118
kraisler/audio/13_mix_hall.mp3,kraisler/score/13.musicxml,kraisler/annotations/13.tsv,118
kraisler/audio/13_mix_studio.mp3,kraisler/score/13.musicxml,kraisler/annotations/13.tsv,118
kraisler/audio/14_mix_dry.mp3,kraisler/score/14.musicxml,kraisler/annotations/14.tsv,52
kraisler/audio/14_mix_hall.mp3,kraisler/score/14.musicxml,kraisler/annotations/14.tsv,52
kraisler/audio/14_mix_studio.mp3,kraisler/score/14.musicxml,kraisler/annotations/14.tsv,52
