dataset,audio,midi,score,match,estimated_bpm
batik,batik/audio/k279_3.mp3,batik/midi/kv279_3.mid,batik/score/kv279_3.musicxml,batik/match/kv279_3.match,69
batik,batik/audio/k279_1.mp3,batik/midi/kv279_1.mid,batik/score/kv279_1.musicxml,batik/match/kv279_1.match,82
batik,batik/audio/k280_1.mp3,batik/midi/kv280_1.mid,batik/score/kv280_1.musicxml,batik/match/kv280_1.match,91
asap,asap/audio/Beethoven_Piano_Sonatas_10-1_Hou02M.mp3,asap/midi/Beethoven_Piano_Sonatas_10-1_Hou02M.mid,asap/score/Beethoven_Piano_Sonatas_10-1_xml_score.musicxml,asap/match/Beethoven_Piano_Sonatas_10-1_Hou02M.match,86
asap,asap/audio/Bach_Prelude_bwv_862_Song04M.mp3,asap/midi/Bach_Prelude_bwv_862_Song04M.mid,asap/score/Bach_Prelude_bwv_862_xml_score.musicxml,asap/match/Bach_Prelude_bwv_862_Song04M.match,104
batik,batik/audio/k283_3.mp3,batik/midi/kv283_3.mid,batik/score/kv283_3.musicxml,batik/match/kv283_3.match,203
batik,batik/audio/k283_1.mp3,batik/midi/kv283_1.mid,batik/score/kv283_1.musicxml,batik/match/kv283_1.match,68
asap,asap/audio/Bach_Prelude_bwv_891_Duepree06M.mp3,asap/midi/Bach_Prelude_bwv_891_Duepree06M.mid,asap/score/Bach_Prelude_bwv_891_xml_score.musicxml,asap/match/Bach_Prelude_bwv_891_Duepree06M.match,70
batik,batik/audio/k282_3.mp3,batik/midi/kv282_3.mid,batik/score/kv282_3.musicxml,batik/match/kv282_3.match,68
asap,asap/audio/Bach_Fugue_bwv_858_VuV01M.mp3,asap/midi/Bach_Fugue_bwv_858_VuV01M.mid,asap/score/Bach_Fugue_bwv_858_xml_score.musicxml,asap/match/Bach_Fugue_bwv_858_VuV01M.match,58
asap,asap/audio/Bach_Prelude_bwv_863_LeeN01M.mp3,asap/midi/Bach_Prelude_bwv_863_LeeN01M.mid,asap/score/Bach_Prelude_bwv_863_xml_score.musicxml,asap/match/Bach_Prelude_bwv_863_LeeN01M.match,101
asap,asap/audio/Beethoven_Piano_Sonatas_5-1_Colafelice02M.mp3,asap/midi/Beethoven_Piano_Sonatas_5-1_Colafelice02M.mid,asap/score/Beethoven_Piano_Sonatas_5-1_xml_score.musicxml,asap/match/Beethoven_Piano_Sonatas_5-1_Colafelice02M.match,187
asap,asap/audio/Bach_Fugue_bwv_863_Shychko01M.mp3,asap/midi/Bach_Fugue_bwv_863_Shychko01M.mid,asap/score/Bach_Fugue_bwv_863_xml_score.musicxml,asap/match/Bach_Fugue_bwv_863_Shychko01M.match,51
asap,asap/audio/Liszt_Transcendental_Etudes_10_CaoJ03M.mp3,asap/midi/Liszt_Transcendental_Etudes_10_CaoJ03M.mid,asap/score/Liszt_Transcendental_Etudes_10_xml_score.musicxml,asap/match/Liszt_Transcendental_Etudes_10_CaoJ03M.match,82
asap,asap/audio/Bach_Prelude_bwv_873_Lisiecki13M.mp3,asap/midi/Bach_Prelude_bwv_873_Lisiecki13M.mid,asap/score/Bach_Prelude_bwv_873_xml_score.musicxml,asap/match/Bach_Prelude_bwv_873_Lisiecki13M.match,129
vienna,vienna/audio/Chopin_op10_no3_p07.mp3,vienna/midi/Chopin_op10_no3_p07.mid,vienna/score/Chopin_op10_no3.musicxml,vienna/match/Chopin_op10_no3_p07.match,32
asap,asap/audio/Liszt_Transcendental_Etudes_3_Huang14M.mp3,asap/midi/Liszt_Transcendental_Etudes_3_Huang14M.mid,asap/score/Liszt_Transcendental_Etudes_3_xml_score.musicxml,asap/match/Liszt_Transcendental_Etudes_3_Huang14M.match,136
vienna,vienna/audio/Mozart_K331_1st-mov_p13.mp3,vienna/midi/Mozart_K331_1st-mov_p13.mid,vienna/score/Mozart_K331_1st-mov.musicxml,vienna/match/Mozart_K331_1st-mov_p13.match,84
vienna,vienna/audio/Schubert_D783_no15_p12.mp3,vienna/midi/Schubert_D783_no15_p12.mid,vienna/score/Schubert_D783_no15.musicxml,vienna/match/Schubert_D783_no15_p12.match,125
vienna,vienna/audio/Chopin_op38_p20.mp3,vienna/midi/Chopin_op38_p20.mid,vienna/score/Chopin_op38.musicxml,vienna/match/Chopin_op38_p20.match,134
