perf_sec	score_beat
0.500000	2.000000
0.923000	2.500000
1.608000	3.000000
2.247000	4.000000
2.624000	4.500000
2.978000	5.000000
3.663000	5.750000
3.898000	6.000000
4.308000	6.500000
4.731000	7.000000
5.522000	8.000000
6.322000	9.000000
6.717000	9.500000
7.111000	10.000000
7.971000	11.000000
8.824000	12.000000
10.438000	14.000000
10.832000	14.500000
11.332000	15.000000
12.094000	16.000000
12.452000	16.500000
12.754000	17.000000
13.381000	17.750000
13.584000	18.000000
13.984000	18.500000
15.038000	19.000000
15.102000	20.000000
15.897500	20.500000
15.905000	21.000000
16.301000	21.500000
16.672000	22.000000
17.467000	23.000000
18.263000	24.000000
19.192000	25.000000
19.917000	26.000000
20.312000	26.500000
20.707000	27.000000
21.480000	28.000000
22.257000	29.000000
22.651000	29.500000
23.011000	30.000000
23.772000	31.000000
24.526000	32.000000
24.869000	32.500000
25.322000	33.000000
26.428500	34.000000
26.832000	35.000000
27.150000	35.500000
27.684000	36.000000
29.101500	37.000000
29.176000	38.000000
29.385000	38.500000
29.832000	39.000000
30.645000	40.000000
31.336000	41.000000
32.055000	42.000000
32.781000	43.000000
33.536000	44.000000
34.290000	45.000000
35.048000	45.500000
35.074000	46.000000
35.742000	47.000000
36.525000	48.000000
37.297000	49.000000
38.098000	50.000000
38.476000	50.500000
38.958000	51.000000
39.590000	52.000000
39.910000	52.500000
40.293000	53.000000
40.827000	53.750000
41.055000	54.000000
41.407000	54.500000
41.796000	55.000000
42.436000	56.000000
43.201000	57.000000
43.636000	57.500000
44.025000	58.000000
44.612000	59.000000
45.424000	60.000000
46.992000	62.000000
47.381000	62.500000
47.793000	63.000000
48.532000	64.000000
48.890000	64.500000
49.203000	65.000000
49.761000	65.750000
49.987000	66.000000
50.335000	66.500000
50.707000	67.000000
51.357000	68.000000
51.729000	68.500000
52.129000	69.000000
52.541000	69.500000
52.948000	70.000000
53.720000	71.000000
54.915000	72.000000
