audio,score,annotations
urmp/audio/AuMix_01_Jupiter_vn_vc_trim.mp3,urmp/score/Sco_01_Jupiter_vn_vc.mid,urmp/annotations/1.tsv
urmp/audio/AuMix_02_Sonata_vn_vn_trim.mp3,urmp/score/Sco_02_Sonata_vn_vn.mid,urmp/annotations/2.tsv
urmp/audio/AuMix_03_Dance_fl_cl_trim.mp3,urmp/score/Sco_03_Dance_fl_cl.mid,urmp/annotations/3.tsv
urmp/audio/AuMix_04_Allegro_fl_fl_trim.mp3,urmp/score/Sco_04_Allegro_fl_fl.mid,urmp/annotations/4.tsv
urmp/audio/AuMix_05_Entertainer_tpt_tpt_trim.mp3,urmp/score/Sco_05_Entertainer_tpt_tpt.mid,urmp/annotations/5.tsv
urmp/audio/AuMix_06_Entertainer_sax_sax_trim.mp3,urmp/score/Sco_06_Entertainer_sax_sax.mid,urmp/annotations/6.tsv
urmp/audio/AuMix_07_GString_tpt_tbn_trim.mp3,urmp/score/Sco_07_GString_tpt_tbn.mid,urmp/annotations/7.tsv
urmp/audio/AuMix_08_Spring_fl_vn_trim.mp3,urmp/score/Sco_08_Spring_fl_vn.mid,urmp/annotations/8.tsv
urmp/audio/AuMix_09_Jesus_tpt_vn_trim.mp3,urmp/score/Sco_09_Jesus_tpt_vn.mid,urmp/annotations/9.tsv
urmp/audio/AuMix_10_March_tpt_sax.mp3,urmp/score/Sco_10_March_tpt_sax.mid,urmp/annotations/10.tsv
urmp/audio/AuMix_11_Maria_ob_vc_trim.mp3,urmp/score/Sco_11_Maria_ob_vc.mid,urmp/annotations/11.tsv
urmp/audio/AuMix_12_Spring_vn_vn_vc_trim.mp3,urmp/score/Sco_12_Spring_vn_vn_vc.mid,urmp/annotations/12.tsv
urmp/audio/AuMix_13_Hark_vn_vn_va_trim.mp3,urmp/score/Sco_13_Hark_vn_vn_va.mid,urmp/annotations/13.tsv
urmp/audio/AuMix_14_Waltz_fl_fl_cl.mp3,urmp/score/Sco_14_Waltz_fl_fl_cl.mid,urmp/annotations/14.tsv
urmp/audio/AuMix_15_Surprise_tpt_tpt_tbn_trim.mp3,urmp/score/Sco_15_Surprise_tpt_tpt_tbn.mid,urmp/annotations/15.tsv
