audio,score,midi,match,estimated_bpm
vienna/audio/Chopin_op10_no3_p01.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p01.mid,vienna/match/Chopin_op10_no3_p01.match,30
vienna/audio/Chopin_op10_no3_p02.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p02.mid,vienna/match/Chopin_op10_no3_p02.match,34
vienna/audio/Chopin_op10_no3_p03.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p03.mid,vienna/match/Chopin_op10_no3_p03.match,32
vienna/audio/Chopin_op10_no3_p04.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p04.mid,vienna/match/Chopin_op10_no3_p04.match,30
vienna/audio/Chopin_op10_no3_p05.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p05.mid,vienna/match/Chopin_op10_no3_p05.match,38
vienna/audio/Chopin_op10_no3_p06.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p06.mid,vienna/match/Chopin_op10_no3_p06.match,29
vienna/audio/Chopin_op10_no3_p07.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p07.mid,vienna/match/Chopin_op10_no3_p07.match,32
vienna/audio/Chopin_op10_no3_p08.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p08.mid,vienna/match/Chopin_op10_no3_p08.match,36
vienna/audio/Chopin_op10_no3_p09.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p09.mid,vienna/match/Chopin_op10_no3_p09.match,37
vienna/audio/Chopin_op10_no3_p10.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p10.mid,vienna/match/Chopin_op10_no3_p10.match,30
vienna/audio/Chopin_op10_no3_p11.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p11.mid,vienna/match/Chopin_op10_no3_p11.match,28
vienna/audio/Chopin_op10_no3_p12.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p12.mid,vienna/match/Chopin_op10_no3_p12.match,33
vienna/audio/Chopin_op10_no3_p13.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p13.mid,vienna/match/Chopin_op10_no3_p13.match,35
vienna/audio/Chopin_op10_no3_p14.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p14.mid,vienna/match/Chopin_op10_no3_p14.match,29
vienna/audio/Chopin_op10_no3_p15.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p15.mid,vienna/match/Chopin_op10_no3_p15.match,28
vienna/audio/Chopin_op10_no3_p16.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p16.mid,vienna/match/Chopin_op10_no3_p16.match,37
vienna/audio/Chopin_op10_no3_p17.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p17.mid,vienna/match/Chopin_op10_no3_p17.match,31
vienna/audio/Chopin_op10_no3_p18.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p18.mid,vienna/match/Chopin_op10_no3_p18.match,35
vienna/audio/Chopin_op10_no3_p19.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p19.mid,vienna/match/Chopin_op10_no3_p19.match,35
vienna/audio/Chopin_op10_no3_p20.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p20.mid,vienna/match/Chopin_op10_no3_p20.match,28
vienna/audio/Chopin_op10_no3_p21.mp3,vienna/score/Chopin_op10_no3.musicxml,vienna/midi/Chopin_op10_no3_p21.mid,vienna/match/Chopin_op10_no3_p21.match,29
