perf_sec	score_beat
0.260000	0.000000
0.920000	0.500000
1.710000	1.000000
2.320000	1.500000
2.960000	2.000000
3.550000	2.500000
4.220000	3.000000
4.880000	3.500000
5.520000	4.000000
6.150000	4.500000
6.940000	5.000000
7.540000	5.500000
8.300000	6.000000
9.000000	6.500000
9.600000	7.000000
9.900000	7.500000
11.000000	8.000000
11.520000	8.500000
12.180000	9.000000
13.120000	9.500000
13.900000	10.000000
15.240000	10.500000
15.540000	11.000000
17.200000	11.500000
17.920000	12.000000
19.080000	12.500000
19.230000	12.750000
19.380000	13.000000
19.960000	13.500000
20.700000	14.000000
21.000000	14.500000
21.150000	14.750000
21.340000	15.000000
21.940000	15.500000
23.580000	16.000000
24.040000	16.500000
24.570000	16.750000
24.720000	17.000000
25.420000	17.500000
25.710000	17.750000
26.200000	18.000000
26.580000	18.500000
26.880000	19.000000
28.000000	19.500000
28.740000	20.000000
29.040000	20.500000
29.360000	21.000000
30.800000	21.500000
31.480000	22.000000
32.300000	22.500000
32.570000	22.750000
32.720000	23.000000
33.240000	23.500000
33.960000	24.000000
34.300000	24.500000
34.990000	24.750000
35.140000	25.000000
35.780000	25.500000
36.400000	26.000000
37.020000	26.500000
37.720000	27.000000
38.240000	27.500000
38.590000	27.750000
39.360000	28.000000
39.970000	28.500000
40.500000	29.000000
41.120000	29.500000
41.710000	30.000000
42.320000	30.500000
42.920000	31.000000
43.460000	31.500000
44.100000	32.000000
44.700000	32.500000
45.170000	32.750000
45.460000	33.000000
45.710000	33.250000
46.020000	33.500000
46.170000	33.750000
46.740000	34.000000
47.280000	34.500000
47.980000	35.000000
48.480000	35.500000
49.300000	36.000000
49.820000	36.500000
50.010000	36.750000
50.620000	37.000000
51.100000	37.500000
51.510000	37.750000
51.991000	38.000000
52.140000	38.500000
54.440000	39.000000
54.740000	39.500000
55.040000	40.000000
55.190000	40.250000
55.460000	40.500000
56.050000	40.750000
56.420000	41.000000
56.870000	41.250000
57.420000	41.500000
57.570000	41.750000
58.180000	42.000000
58.410000	42.250000
58.580000	42.500000
59.110000	42.750000
59.600000	43.000000
60.260000	43.500000
60.820000	44.000000
61.470000	44.500000
62.130000	45.000000
62.760000	45.500000
63.560000	46.000000
63.770000	46.250000
64.160000	46.500000
64.850000	46.750000
65.060000	47.000000
65.270000	47.250000
65.640000	47.500000
65.870000	47.750000
66.420000	48.000000
67.060000	48.500000
67.630000	49.000000
68.380000	49.500000
69.080000	50.000000
69.730000	50.500000
70.450000	51.000000
71.040000	51.500000
71.820000	52.000000
71.970000	52.250000
72.540000	52.500000
72.690000	52.750000
73.140000	53.000000
73.290000	53.250000
73.660000	53.500000
74.270000	53.750000
74.660000	54.000000
75.110000	54.250000
75.660000	54.500000
75.870000	54.750000
76.120000	55.000000
76.840000	55.500000
77.500000	56.000000
78.150000	56.500000
78.760000	57.000000
79.500000	57.500000
80.200000	58.000000
80.570000	58.250000
80.920000	58.500000
81.070000	58.750000
81.620000	59.000000
82.010000	59.250000
82.300000	59.500000
82.450000	59.750000
83.040000	60.000000
83.880000	60.500000
84.320000	61.000000
84.760000	61.500000
85.620000	62.000000
86.210000	62.500000
86.860000	63.000000
87.480000	63.500000
88.140000	64.000000
88.830000	64.500000
89.660000	65.000000
90.300000	65.500000
91.120000	66.000000
91.780000	66.500000
92.780000	67.000000
93.140000	67.500000
93.880000	68.000000
94.500000	68.500000
95.280000	69.000000
95.920000	69.500000
96.780000	70.000000
98.560000	70.500000
98.960000	71.000000
99.660000	71.500000
100.520000	72.000000
101.000000	72.500000
101.170000	72.750000
101.780000	73.000000
102.520000	73.500000
103.300000	74.000000
103.920000	74.500000
104.070000	74.750000
104.540000	75.000000
104.880000	75.500000
105.940000	76.000000
106.700000	76.500000
106.850000	76.750000
107.140000	77.000000
107.510000	77.250000
107.780000	77.500000
108.190000	77.750000
108.580000	78.000000
109.140000	78.500000
109.820000	79.000000
110.420000	79.500000
111.180000	80.000000
111.750000	80.500000
112.400000	81.000000
113.070000	81.500000
113.800000	82.000000
114.280000	82.500000
114.630000	82.750000
114.960000	83.000000
115.580000	83.500000
116.140000	84.000000
116.530000	84.500000
116.730000	84.750000
117.340000	85.000000
118.020000	85.500000
118.660000	86.000000
119.480000	86.500000
119.960000	87.000000
120.540000	87.500000
120.870000	87.750000
121.480000	88.000000
121.850000	88.500000
122.360000	89.000000
123.220000	89.500000
123.900000	90.000000
124.710000	90.500000
125.280000	91.000000
125.880000	91.500000
126.820000	92.000000
127.400000	92.500000
127.850000	92.750000
128.140000	93.000000
128.820000	93.500000
129.480000	94.000000
130.080000	94.500000
130.270000	94.750000
130.820000	95.000000
131.360000	95.500000
132.060000	96.000000
132.600000	96.500000
132.950000	96.750000
133.420000	97.000000
133.980000	97.500000
134.270000	97.750000
134.830000	98.000000
134.880000	98.500000
136.300000	99.000000
137.000000	99.500000
137.920000	100.000000
138.070000	100.250000
138.220000	100.500000
138.790000	100.750000
139.620000	101.000000
139.770000	101.250000
140.200000	101.500000
140.350000	101.750000
141.000000	102.000000
141.210000	102.250000
141.360000	102.500000
141.850000	102.750000
142.220000	103.000000
142.970000	103.500000
143.620000	104.000000
144.270000	104.500000
144.920000	105.000000
145.610000	105.500000
146.430000	106.000000
146.730000	106.250000
147.080000	106.500000
147.550000	106.750000
147.720000	107.000000
147.890000	107.250000
148.440000	107.500000
148.650000	107.750000
149.280000	108.000000
149.580000	108.500000
149.790000	108.750000
150.000000	109.000000
151.500000	109.500000
152.260000	110.000000
152.970000	110.500000
153.740000	111.000000
154.500000	111.500000
155.260000	112.000000
155.410000	112.250000
156.240000	112.500000
156.390000	112.750000
156.760000	113.000000
157.190000	113.250000
157.800000	113.500000
158.010000	113.750000
158.360000	114.000000
158.930000	114.250000
159.300000	114.500000
159.510000	114.750000
159.940000	115.000000
160.660000	115.500000
161.360000	116.000000
162.000000	116.500000
162.760000	117.000000
163.420000	117.500000
164.180000	118.000000
164.650000	118.250000
164.870000	118.500000
165.230000	118.750000
165.690000	119.000000
166.070000	119.250000
166.440000	119.500000
166.690000	119.750000
167.320000	120.000000
168.140000	120.500000
168.680000	121.000000
169.320000	121.500000
170.000000	122.000000
170.630000	122.500000
171.380000	123.000000
172.060000	123.500000
172.940000	124.000000
174.120000	124.500000
174.420000	125.000000
175.160000	125.500000
175.960000	126.000000
176.700000	126.500000
177.260000	127.000000
178.060000	127.500000
178.960000	128.000000
179.580000	128.500000
180.460000	129.000000
180.880000	129.500000
182.220000	130.000000
183.900000	130.500000
185.720000	131.000000
186.020000	131.500000
186.320000	132.000000
