audio,score,annotations,estimated_bpm
winterreise/audio/Schubert_D911-01_HU33.mp3,winterreise/score/Schubert_D911-01_HU33.xml,winterreise/annotations/1.tsv,53
winterreise/audio/Schubert_D911-01_SC06.mp3,winterreise/score/Schubert_D911-01_SC06.xml,winterreise/annotations/2.tsv,50
winterreise/audio/Schubert_D911-02_HU33.mp3,winterreise/score/Schubert_D911-02_HU33.xml,winterreise/annotations/3.tsv,181
winterreise/audio/Schubert_D911-02_SC06.mp3,winterreise/score/Schubert_D911-02_SC06.xml,winterreise/annotations/4.tsv,192
winterreise/audio/Schubert_D911-03_HU33.mp3,winterreise/score/Schubert_D911-03_HU33.xml,winterreise/annotations/5.tsv,44
winterreise/audio/Schubert_D911-03_SC06.mp3,winterreise/score/Schubert_D911-03_SC06.xml,winterreise/annotations/6.tsv,48
winterreise/audio/Schubert_D911-04_HU33.mp3,winterreise/score/Schubert_D911-04_HU33.xml,winterreise/annotations/7.tsv,146
winterreise/audio/Schubert_D911-04_SC06.mp3,winterreise/score/Schubert_D911-04_SC06.xml,winterreise/annotations/8.tsv,164
winterreise/audio/Schubert_D911-05_HU33.mp3,winterreise/score/Schubert_D911-05_HU33.xml,winterreise/annotations/9.tsv,54
winterreise/audio/Schubert_D911-05_SC06.mp3,winterreise/score/Schubert_D911-05_SC06.xml,winterreise/annotations/10.tsv,51
winterreise/audio/Schubert_D911-06_HU33.mp3,winterreise/score/Schubert_D911-06_HU33.xml,winterreise/annotations/11.tsv,42
winterreise/audio/Schubert_D911-06_SC06.mp3,winterreise/score/Schubert_D911-06_SC06.xml,winterreise/annotations/12.tsv,45
winterreise/audio/Schubert_D911-07_HU33.mp3,winterreise/score/Schubert_D911-07_HU33.xml,winterreise/annotations/13.tsv,47
winterreise/audio/Schubert_D911-07_SC06.mp3,winterreise/score/Schubert_D911-07_SC06.xml,winterreise/annotations/14.tsv,47
winterreise/audio/Schubert_D911-08_HU33.mp3,winterreise/score/Schubert_D911-08_HU33.xml,winterreise/annotations/15.tsv,101
winterreise/audio/Schubert_D911-08_SC06.mp3,winterreise/score/Schubert_D911-08_SC06.xml,winterreise/annotations/16.tsv,109
winterreise/audio/Schubert_D911-09_HU33.mp3,winterreise/score/Schubert_D911-09_HU33.xml,winterreise/annotations/17.tsv,58
winterreise/audio/Schubert_D911-09_SC06.mp3,winterreise/score/Schubert_D911-09_SC06.xml,winterreise/annotations/18.tsv,53
winterreise/audio/Schubert_D911-10_HU33.mp3,winterreise/score/Schubert_D911-10_HU33.xml,winterreise/annotations/19.tsv,41
winterreise/audio/Schubert_D911-10_SC06.mp3,winterreise/score/Schubert_D911-10_SC06.xml,winterreise/annotations/20.tsv,44
winterreise/audio/Schubert_D911-11_HU33.mp3,winterreise/score/Schubert_D911-11_HU33.xml,winterreise/annotations/21.tsv,92
winterreise/audio/Schubert_D911-11_SC06.mp3,winterreise/score/Schubert_D911-11_SC06.xml,winterreise/annotations/22.tsv,98
winterreise/audio/Schubert_D911-12_HU33.mp3,winterreise/score/Schubert_D911-12_HU33.xml,winterreise/annotations/23.tsv,36
winterreise/audio/Schubert_D911-12_SC06.mp3,winterreise/score/Schubert_D911-12_SC06.xml,winterreise/annotations/24.tsv,39
winterreise/audio/Schubert_D911-13_HU33.mp3,winterreise/score/Schubert_D911-13_HU33.xml,winterreise/annotations/25.tsv,320
winterreise/audio/Schubert_D911-13_SC06.mp3,winterreise/score/Schubert_D911-13_SC06.xml,winterreise/annotations/26.tsv,288
winterreise/audio/Schubert_D911-14_HU33.mp3,winterreise/score/Schubert_D911-14_HU33.xml,winterreise/annotations/27.tsv,43
winterreise/audio/Schubert_D911-14_SC06.mp3,winterreise/score/Schubert_D911-14_SC06.xml,winterreise/annotations/28.tsv,53
winterreise/audio/Schubert_D911-15_HU33.mp3,winterreise/score/Schubert_D911-15_HU33.xml,winterreise/annotations/29.tsv,42
winterreise/audio/Schubert_D911-15_SC06.mp3,winterreise/score/Schubert_D911-15_SC06.xml,winterreise/annotations/30.tsv,44
winterreise/audio/Schubert_D911-16_HU33.mp3,winterreise/score/Schubert_D911-16_HU33.xml,winterreise/annotations/31.tsv,61
winterreise/audio/Schubert_D911-16_SC06.mp3,winterreise/score/Schubert_D911-16_SC06.xml,winterreise/annotations/32.tsv,75
winterreise/audio/Schubert_D911-17_HU33.mp3,winterreise/score/Schubert_D911-17_HU33.xml,winterreise/annotations/33.tsv,178
winterreise/audio/Schubert_D911-17_SC06.mp3,winterreise/score/Schubert_D911-17_SC06.xml,winterreise/annotations/34.tsv,185
winterreise/audio/Schubert_D911-18_HU33.mp3,winterreise/score/Schubert_D911-18_HU33.xml,winterreise/annotations/35.tsv,94
winterreise/audio/Schubert_D911-18_SC06.mp3,winterreise/score/Schubert_D911-18_SC06.xml,winterreise/annotations/36.tsv,102
winterreise/audio/Schubert_D911-19_HU33.mp3,winterreise/score/Schubert_D911-19_HU33.xml,winterreise/annotations/37.tsv,219
winterreise/audio/Schubert_D911-19_SC06.mp3,winterreise/score/Schubert_D911-19_SC06.xml,winterreise/annotations/38.tsv,211
winterreise/audio/Schubert_D911-20_HU33.mp3,winterreise/score/Schubert_D911-20_HU33.xml,winterreise/annotations/39.tsv,41
winterreise/audio/Schubert_D911-20_SC06.mp3,winterreise/score/Schubert_D911-20_SC06.xml,winterreise/annotations/40.tsv,43
winterreise/audio/Schubert_D911-21_HU33.mp3,winterreise/score/Schubert_D911-21_HU33.xml,winterreise/annotations/41.tsv,34
winterreise/audio/Schubert_D911-21_SC06.mp3,winterreise/score/Schubert_D911-21_SC06.xml,winterreise/annotations/42.tsv,31
winterreise/audio/Schubert_D911-22_HU33.mp3,winterreise/score/Schubert_D911-22_HU33.xml,winterreise/annotations/43.tsv,96
winterreise/audio/Schubert_D911-22_SC06.mp3,winterreise/score/Schubert_D911-22_SC06.xml,winterreise/annotations/44.tsv,103
winterreise/audio/Schubert_D911-23_HU33.mp3,winterreise/score/Schubert_D911-23_HU33.xml,winterreise/annotations/45.tsv,30
winterreise/audio/Schubert_D911-23_SC06.mp3,winterreise/score/Schubert_D911-23_SC06.xml,winterreise/annotations/46.tsv,32
winterreise/audio/Schubert_D911-24_HU33.mp3,winterreise/score/Schubert_D911-24_HU33.xml,winterreise/annotations/47.tsv,58
winterreise/audio/Schubert_D911-24_SC06.mp3,winterreise/score/Schubert_D911-24_SC06.xml,winterreise/annotations/48.tsv,53
